category_id,category_name
2,Soccer
3,Baseball & Softball
4,Basketball
5,Lacrosse
6,Tennis & Racquet
7,Hockey
9,Cardio Equipment
10,Strength Training
11,Fitness Accessories
12,Boxing & MMA
13,Electronics
16,As Seen on  TV!
17,Cleats
18,Men's Footwear
24,Women's Apparel
26,Girls' Apparel
29,Shop By Sport
30,Men's Golf Clubs
31,Women's Golf Clubs
32,Golf Apparel
33,Golf Shoes
34,Golf Bags & Carts
35,Golf Gloves
36,Golf Balls
37,Electronics
38,Kids' Golf Clubs
40,Accessories
41,Trade-In
43,Camping & Hiking
44,Hunting & Shooting
45,Fishing
46,Indoor/Outdoor Games
48,Water Sports
59,Books 
60,Baby 
61,CDs 
62,Cameras 
63,Children's Clothing
64,Computers
65,Consumer Electronics
66,Crafts
67,DVDs
68,Garden
69,Health and Beauty
70,Men's Clothing
71,Music
72,Pet Supplies
73,Sporting Goods
74,Toys
75,Video Games
76,Women's Clothing
