customer_id,customer_segment,customer_city,customer_state,customer_country,customer_zipcode
1,Consumer,Brownsville,TX,EE. UU.,78521
2,Consumer,Littleton,CO,EE. UU.,80126
3,Consumer,Caguas,PR,Puerto Rico,725
4,Consumer,San Marcos,CA,EE. UU.,92069
5,Home Office,Caguas,PR,Puerto Rico,725
6,Consumer,Passaic,NJ,EE. UU.,7055
7,Corporate,Caguas,PR,Puerto Rico,725
8,Corporate,Lawrence,MA,EE. UU.,1841
9,Consumer,Caguas,PR,Puerto Rico,725
10,Corporate,Stafford,VA,EE. UU.,22554
11,Consumer,Caguas,PR,Puerto Rico,725
12,Corporate,San Antonio,TX,EE. UU.,78227
13,Home Office,Caguas,PR,Puerto Rico,725
14,Corporate,Pico Rivera,CA,EE. UU.,90660
15,Corporate,Fontana,CA,EE. UU.,92336
16,Corporate,Caguas,PR,Puerto Rico,725
17,Consumer,Taylor,MI,EE. UU.,48180
18,Consumer,Martinez,CA,EE. UU.,94553
19,Home Office,Caguas,PR,Puerto Rico,725
20,Consumer,West New York,NJ,EE. UU.,7093
21,Consumer,Caguas,PR,Puerto Rico,725
22,Corporate,North Bergen,NJ,EE. UU.,7047
23,Corporate,San Juan,PR,Puerto Rico,921
24,Home Office,Caguas,PR,Puerto Rico,725
25,Home Office,Peoria,AZ,EE. UU.,85345
26,Consumer,Glenview,IL,EE. UU.,60025
27,Consumer,Caguas,PR,Puerto Rico,725
28,Consumer,Longview,WA,EE. UU.,98632
29,Consumer,Fort Worth,TX,EE. UU.,76133
30,Home Office,Caguas,PR,Puerto Rico,725
31,Consumer,Albuquerque,NM,EE. UU.,87111
32,Corporate,Caguas,PR,Puerto Rico,725
33,Consumer,Norfolk,VA,EE. UU.,23503
34,Corporate,Caguas,PR,Puerto Rico,725
35,Consumer,Oceanside,CA,EE. UU.,92056
36,Corporate,Caguas,PR,Puerto Rico,725
37,Consumer,Norfolk,VA,EE. UU.,23503
38,Consumer,Opelousas,LA,EE. UU.,70570
39,Consumer,Caguas,PR,Puerto Rico,725
40,Consumer,Long Beach,CA,EE. UU.,90805
41,Consumer,Brooklyn,NY,EE. UU.,11230
42,Consumer,Duluth,GA,EE. UU.,30096
43,Corporate,Caguas,PR,Puerto Rico,725
44,Corporate,Napa,CA,EE. UU.,94558
45,Consumer,Denver,CO,EE. UU.,80231
46,Consumer,Freeport,NY,EE. UU.,11520
47,Home Office,Caguas,PR,Puerto Rico,725
